cycle,moisture,leaf_temp,humidity,air_temp,light,battery
0,140,100,120,105,130,200
1,140,100,120,105,131,200
2,140,101,120,106,132,200
3,140,101,120,106,133,200
4,140,102,120,106,134,200
5,140,103,120,107,136,200
6,140,103,120,107,137,200
7,140,104,120,108,138,200
8,140,104,120,108,139,200
9,140,105,120,109,140,200
10,140,105,120,109,141,200
11,140,106,120,110,142,200
12,140,106,120,110,143,200
13,140,107,120,110,144,200
14,140,107,120,111,145,200
15,140,108,120,111,146,200
16,140,108,120,111,146,200
17,140,108,120,112,147,200
18,140,109,120,112,148,200
19,140,109,120,112,148,200
20,140,109,120,112,149,200
21,140,109,120,112,149,200
22,140,109,120,112,149,200
23,140,109,120,112,149,200
24,140,109,120,112,149,200
25,140,110,120,113,150,200
26,140,109,120,112,149,200
27,140,109,120,112,149,200
28,140,109,120,112,149,200
29,140,109,120,112,149,200
30,140,109,120,112,149,200
31,140,109,120,112,148,200
32,140,109,120,112,148,200
33,140,108,120,112,147,200
34,140,108,120,111,146,200
35,140,108,120,111,146,200
36,140,107,120,111,145,200
37,140,107,120,110,144,200
38,140,106,120,110,143,200
39,140,106,120,110,142,200
40,140,105,120,109,141,200
41,140,105,120,109,140,200
42,140,104,120,108,139,200
43,140,104,120,108,138,200
44,140,103,120,107,137,200
45,140,103,120,107,136,200
46,140,102,120,106,134,200
47,140,101,120,106,133,200
48,140,101,120,106,132,200
49,140,100,120,105,131,200
50,140,100,120,105,130,200
51,140,100,120,105,129,200
52,140,99,120,104,128,200
53,140,99,120,104,127,200
54,140,98,120,104,126,200
55,140,97,120,103,124,200
56,140,97,120,103,123,200
57,140,96,120,102,122,200
58,140,96,120,102,121,200
59,140,95,120,101,120,200
60,140,95,120,101,119,200
61,140,94,120,100,118,200
62,140,94,120,100,117,200
63,140,93,120,100,116,200
64,140,93,120,99,115,200
65,140,92,120,99,114,200
66,140,92,120,99,114,200
67,140,92,120,98,113,200
68,140,91,120,98,112,200
69,140,91,120,98,112,200
70,140,91,120,98,111,200
71,140,91,120,98,111,200
72,140,91,120,98,111,200
73,140,91,120,98,111,200
74,140,91,120,98,111,200
75,140,90,120,97,110,200
76,140,91,120,98,111,200
77,140,91,120,98,111,200
78,140,91,120,98,111,200
79,140,91,120,98,111,200
80,140,91,120,98,111,200
81,140,91,120,98,112,200
82,140,91,120,98,112,200
83,140,92,120,98,113,200
84,140,92,120,99,114,200
85,140,92,120,99,114,200
86,140,93,120,99,115,200
87,140,93,120,100,116,200
88,140,94,120,100,117,200
89,140,94,120,100,118,200
90,140,95,120,101,119,200
91,140,95,120,101,120,200
92,140,96,120,102,121,200
93,140,96,120,102,122,200
94,140,97,120,103,123,200
95,140,97,120,103,124,200
96,140,98,120,104,126,200
97,140,99,120,104,127,200
98,140,99,120,104,128,200
99,140,100,120,105,129,200
100,140,100,120,105,130,200
101,140,100,120,105,131,200
102,140,101,120,106,132,200
103,140,101,120,106,133,200
104,140,102,120,106,134,200
105,140,103,120,107,136,200
106,140,103,120,107,137,200
107,140,104,120,108,138,200
108,140,104,120,108,139,200
109,140,105,120,109,140,200
110,140,105,120,109,141,200
111,140,106,120,110,142,200
112,140,106,120,110,143,200
113,140,107,120,110,144,200
114,140,107,120,111,145,200
115,140,108,120,111,146,200
116,140,108,120,111,146,200
117,140,108,120,112,147,200
118,140,109,120,112,148,200
119,140,109,120,112,148,200
120,140,109,120,112,149,200
121,140,109,120,112,149,200
122,140,109,120,112,149,200
123,140,109,120,112,149,200
124,140,109,120,112,149,200
125,140,110,120,113,150,200
126,140,109,120,112,149,200
127,140,109,120,112,149,200
128,140,109,120,112,149,200
129,140,109,120,112,149,200
130,140,109,120,112,149,200
131,140,109,120,112,148,200
132,140,109,120,112,148,200
133,140,108,120,112,147,200
134,140,108,120,111,146,200
135,140,108,120,111,146,200
136,140,107,120,111,145,200
137,140,107,120,110,144,200
138,140,106,120,110,143,200
139,140,106,120,110,142,200
140,140,105,120,109,141,200
141,140,105,120,109,140,200
142,140,104,120,108,139,200
143,140,104,120,108,138,200
144,140,103,120,107,137,200
145,140,103,120,107,136,200
146,140,102,120,106,134,200
147,140,101,120,106,133,200
148,140,101,120,106,132,200
149,140,100,120,105,131,200
150,140,100,120,105,130,200
151,140,100,120,105,129,200
152,140,99,120,104,128,200
153,140,99,120,104,127,200
154,140,98,120,104,126,200
155,140,97,120,103,124,200
156,140,97,120,103,123,200
157,140,96,120,102,122,200
158,140,96,120,102,121,200
159,140,95,120,101,120,200
160,140,95,120,101,119,200
161,140,94,120,100,118,200
162,140,94,120,100,117,200
163,140,93,120,100,116,200
164,140,93,120,99,115,200
165,140,92,120,99,114,200
166,140,92,120,99,114,200
167,140,92,120,98,113,200
168,140,91,120,98,112,200
169,140,91,120,98,112,200
170,140,91,120,98,111,200
171,140,91,120,98,111,200
172,140,91,120,98,111,200
173,140,91,120,98,111,200
174,140,91,120,98,111,200
175,140,90,120,97,110,200
176,140,91,120,98,111,200
177,140,91,120,98,111,200
178,140,91,120,98,111,200
179,140,91,120,98,111,200
180,140,91,120,98,111,200
181,140,91,120,98,112,200
182,140,91,120,98,112,200
183,140,92,120,98,113,200
184,140,92,120,99,114,200
185,140,92,120,99,114,200
186,140,93,120,99,115,200
187,140,93,120,100,116,200
188,140,94,120,100,117,200
189,140,94,120,100,118,200
190,140,95,120,101,119,200
191,140,95,120,101,120,200
192,140,96,120,102,121,200
193,140,96,120,102,122,200
194,140,97,120,103,123,200
195,140,97,120,103,124,200
196,140,98,120,104,126,200
197,140,99,120,104,127,200
198,140,99,120,104,128,200
199,140,100,120,105,129,200
