cycle,moisture,leaf_temp,humidity,air_temp,light,battery
0,140,100,120,100,130,200
1,140,101,120,101,130,200
2,140,102,119,102,130,200
3,139,103,119,103,130,200
4,139,104,118,104,130,200
5,139,105,118,105,130,200
6,138,106,117,106,130,200
7,138,107,117,107,130,200
8,138,108,116,108,130,200
9,137,109,116,109,130,200
10,137,110,115,110,130,200
11,137,111,115,111,130,200
12,136,112,114,112,130,200
13,136,113,114,113,130,200
14,136,114,113,114,130,200
15,135,115,113,115,130,200
16,135,116,112,116,130,200
17,135,117,112,117,130,200
18,134,118,111,118,130,200
19,134,119,111,119,130,200
20,134,120,110,120,130,200
21,133,121,110,121,130,200
22,133,122,109,122,130,200
23,133,123,109,123,130,200
24,132,124,108,124,130,200
25,132,125,108,125,130,200
26,132,126,107,126,130,200
27,131,127,107,127,130,200
28,131,128,106,128,130,200
29,131,129,106,129,130,200
30,130,130,105,130,130,200
31,130,131,105,131,130,200
32,130,132,104,132,130,200
33,129,133,104,133,130,200
34,129,134,103,134,130,200
35,129,135,103,135,130,200
36,128,136,102,136,130,200
37,128,137,102,137,130,200
38,128,138,101,138,130,200
39,127,139,101,139,130,200
40,127,140,100,140,130,200
41,127,141,100,141,130,200
42,126,142,99,142,130,200
43,126,143,99,143,130,200
44,126,144,98,144,130,200
45,125,145,98,145,130,200
46,125,146,97,146,130,200
47,125,147,97,147,130,200
48,124,148,96,148,130,200
49,124,149,96,149,130,200
50,124,150,95,150,130,200
51,123,151,95,151,130,200
52,123,152,94,152,130,200
53,123,153,94,153,130,200
54,122,154,93,154,130,200
55,122,155,93,155,130,200
56,122,156,92,156,130,200
57,121,157,92,157,130,200
58,121,158,91,158,130,200
59,121,159,91,159,130,200
60,120,160,90,160,130,200
61,120,161,90,161,130,200
62,120,162,89,162,130,200
63,119,163,89,163,130,200
64,119,164,88,164,130,200
65,119,165,88,165,130,200
66,118,166,87,166,130,200
67,118,167,87,167,130,200
68,118,168,86,168,130,200
69,117,169,86,169,130,200
70,117,170,85,170,130,200
71,117,171,85,171,130,200
72,116,172,84,172,130,200
73,116,173,84,173,130,200
74,116,174,83,174,130,200
75,115,175,83,175,130,200
76,115,176,82,176,130,200
77,115,177,82,177,130,200
78,114,178,81,178,130,200
79,114,179,81,179,130,200
80,114,180,80,180,130,200
81,113,181,80,181,130,200
82,113,182,79,182,130,200
83,113,183,79,183,130,200
84,112,184,78,184,130,200
85,112,185,78,185,130,200
86,112,186,77,186,130,200
87,111,187,77,187,130,200
88,111,188,76,188,130,200
89,111,189,76,189,130,200
90,110,190,75,190,130,200
91,110,191,75,191,130,200
92,110,192,74,192,130,200
93,109,193,74,193,130,200
