cycle,moisture,leaf_temp,humidity,air_temp,light,battery
0,140,93,96,106,115,200
1,114,94,101,115,105,200
2,137,103,97,98,105,200
3,113,97,127,117,101,200
4,135,96,129,111,114,200
5,128,108,112,98,148,200
6,110,112,122,108,117,200
7,109,96,116,101,105,200
8,124,93,117,109,138,200
9,116,115,97,112,134,200
10,107,119,119,100,135,200
11,118,116,135,117,123,200
12,136,96,99,99,142,200
13,114,114,113,100,114,200
14,106,102,112,112,140,200
15,123,95,118,109,113,200
16,117,112,99,117,140,200
17,110,107,110,103,129,200
18,124,98,135,115,114,200
19,120,116,98,105,102,200
20,120,102,112,100,113,200
21,136,118,115,104,141,200
22,131,102,124,102,116,200
23,108,97,130,115,116,200
24,137,103,132,110,123,200
25,114,94,127,113,105,200
26,103,117,102,102,140,200
27,110,115,122,117,104,200
28,124,102,133,112,133,200
29,116,107,95,101,143,200
30,134,114,112,118,121,200
31,107,99,122,103,129,200
32,100,120,111,114,148,200
33,111,106,101,118,119,200
34,140,106,133,104,109,200
35,123,114,105,115,149,200
36,133,119,95,117,120,200
37,131,90,102,109,119,200
38,115,91,110,116,105,200
39,105,113,126,100,148,200
40,134,114,103,102,142,200
41,130,120,130,103,116,200
42,133,117,133,111,113,200
43,134,114,107,107,125,200
44,123,104,128,112,107,200
45,115,97,99,108,101,200
46,137,107,109,116,114,200
47,100,92,135,99,114,200
48,104,118,97,108,104,200
49,132,97,112,113,113,200
50,134,94,131,116,130,200
51,115,115,125,111,112,200
52,106,93,122,109,127,200
53,126,104,98,118,141,200
54,106,91,120,108,106,200
55,115,96,107,115,128,200
56,108,103,106,106,129,200
57,115,117,99,112,135,200
58,106,91,129,98,105,200
59,115,95,121,113,130,200
60,113,117,120,99,110,200
61,124,90,119,106,150,200
62,129,99,122,115,142,200
63,131,94,107,107,113,200
64,103,108,129,99,147,200
65,120,91,98,116,130,200
66,132,119,128,103,103,200
67,132,92,106,100,138,200
68,104,111,110,110,107,200
69,136,97,132,117,102,200
70,139,92,121,116,136,200
71,133,100,111,104,142,200
72,120,97,111,110,108,200
73,119,104,115,100,100,200
74,129,109,131,101,104,200
75,134,96,127,106,108,200
76,122,118,99,105,123,200
77,118,95,123,115,145,200
78,119,109,128,98,142,200
79,135,99,101,102,116,200
80,107,118,101,115,109,200
81,117,99,133,104,145,200
82,121,96,135,106,132,200
83,131,98,98,100,140,200
84,127,116,112,99,100,200
85,121,114,103,118,116,200
86,110,113,123,115,145,200
87,127,107,95,101,104,200
88,109,107,97,109,137,200
89,135,94,122,102,102,200
90,119,101,97,109,113,200
91,115,111,101,109,149,200
92,135,118,121,117,147,200
93,109,119,110,103,111,200
94,126,90,106,108,150,200
95,126,115,110,106,110,200
96,106,102,97,113,114,200
97,112,116,124,109,119,200
98,114,97,96,104,125,200
99,121,98,99,106,122,200
100,132,102,129,108,101,200
101,107,118,111,103,137,200
102,116,91,101,117,127,200
103,122,113,115,111,138,200
104,132,93,119,116,112,200
105,116,91,122,98,133,200
106,134,111,107,109,127,200
107,104,120,116,117,120,200
108,107,113,114,114,119,200
109,126,100,120,107,135,200
110,108,96,121,110,143,200
111,111,109,131,107,125,200
112,135,116,95,107,118,200
113,113,103,132,117,141,200
114,120,104,123,112,143,200
115,113,106,125,103,142,200
116,105,99,127,118,139,200
117,121,92,110,107,114,200
118,112,94,96,99,115,200
119,130,109,99,112,126,200
120,140,108,107,110,131,200
121,125,97,104,118,144,200
122,100,118,101,111,114,200
123,111,115,128,112,103,200
124,135,97,102,112,108,200
125,129,111,128,115,138,200
126,120,120,123,117,146,200
127,132,103,130,112,110,200
128,130,104,111,105,140,200
129,117,114,128,113,140,200
130,115,98,123,100,145,200
131,118,97,112,108,120,200
132,134,92,103,102,114,200
133,124,112,104,104,104,200
134,126,103,116,115,129,200
135,126,91,108,111,124,200
136,137,120,96,116,124,200
137,130,90,117,107,148,200
138,124,117,121,115,147,200
139,134,115,133,105,131,200
140,114,98,122,113,101,200
141,124,100,120,103,129,200
142,108,109,129,98,125,200
143,137,108,96,100,141,200
144,127,94,124,103,103,200
145,116,102,115,104,129,200
146,120,100,119,106,148,200
147,126,98,100,113,101,200
148,134,91,117,105,141,200
149,104,114,97,98,115,200
150,112,116,96,117,109,200
151,115,94,125,101,136,200
152,113,104,111,109,110,200
153,138,109,102,103,119,200
154,106,108,96,107,136,200
155,124,102,107,100,137,200
156,140,97,101,107,143,200
157,138,115,102,116,150,200
158,102,101,129,111,142,200
159,123,92,127,118,121,200
160,100,117,121,113,106,200
161,127,120,118,118,129,200
162,109,103,106,114,141,200
163,117,109,129,113,129,200
164,127,116,132,106,120,200
165,115,116,100,106,128,200
166,115,114,124,116,139,200
167,124,100,96,113,120,200
168,111,105,108,109,116,200
169,121,98,133,106,135,200
170,100,106,107,100,115,200
171,126,105,130,105,144,200
172,130,110,126,112,150,200
173,101,92,113,105,125,200
174,115,99,132,109,130,200
175,135,106,117,111,147,200
176,135,100,117,112,117,200
177,119,98,109,101,146,200
178,112,100,102,115,148,200
179,111,96,108,113,117,200
180,137,114,128,117,118,200
181,106,116,107,107,114,200
182,123,95,114,98,145,200
183,134,94,112,99,103,200
184,135,99,103,118,148,200
185,131,93,95,116,118,200
186,130,105,123,108,111,200
187,103,98,125,101,104,200
188,125,105,99,116,140,200
189,103,94,104,116,119,200
190,105,97,102,115,148,200
191,126,109,133,117,114,200
192,133,102,123,112,119,200
193,137,103,114,116,139,200
194,103,109,101,104,140,200
195,113,98,100,103,115,200
196,111,107,99,103,100,200
197,126,104,133,113,118,200
198,102,97,113,107,144,200
199,129,92,109,106,150,200
